" RANKING OF TOP 1,000 GLOBAL COMPANIES BY R&D INVESTMENT WITHIN INDUSTRY"
,,,,,,,,,"2009 R&D investment",,,,,,"Operating profit",,,,"Sales and employees",,,,,,"R&D and employees",,,,,,Sales,,
,,,,,,,,,,Growth,,÷ operating,,R&D + capex,,Growth,,,Sales,,,Sales ÷ employees,,,Employees,,,R&D ÷ employees ,,,outside,Market cap,,R&D spend,,
"Chevron, USA",USA,,,*,31,0537,Integrated oil & gas,FT Global 500,373.40,-28,11,3.4,0.4,12.2,11030,-58,-46,10.6,103661,-37,-22,1619.7,-34,-22,64000,-4,1,5.8,-24,11,,96365,13,517.06,348.01,289.80,195.68
"BP, UK",UK,,,,31,0537,Integrated oil & gas,FT Global 500,363.49,-1,14,2.4,0.2,7.4,14985,-28,-23,10.1,148165,-34,-18,1739.0,-26,-5,85200,-11,-13,4.3,11,31,,78243,-17,368.44,350.49,244.60,310.86
"China Petroleum & Chemicals, China",China,,,,31,0537,Integrated oil & gas,FT Global 500,346.14,11,27,10.5,0.3,8.9,3312,,-35,2.7,122005,-7,19,328.6,-11,12,371333,4,6,0.9,7,19,,61183,-33,310.85,310.13,263.23,203.45
"Statoil, Norway",Norway,,,,31,0537,Integrated oil & gas,FT Global 500,222.22,-8,20,1.7,0.4,19.0,13039,-38,-18,26.3,49556,-29,-11,1724.3,-31,-15,28739,3,4,7.7,-10,16,,39030,-9,240.44,211.07,173.23,114.27
"Eni, Italy",Italy,,,,31,0537,Integrated oil & gas,FT Global 500,183.92,-4,-2,1.7,0.2,15.0,11060,-35,-35,15.0,73947,-23,-6,940.2,-24,-11,78648,2,6,2.3,-6,-8,31,50755,-11,191.92,184.81,197.25,179.48
"DONG Energy, Denmark",Denmark,,,,31,0537,Integrated oil & gas,Unlisted,126.57,-8,122,36.1,2.2,35.7,351,-60,-46,6.0,5882,-19,26,1010.7,-26,-33,5820,9,63,21.7,-15,62,,,,137.43,57.19,25.08,7.88
"ConocoPhillips, USA",USA,,,*,31,0537,Integrated oil & gas,FT Global 500,117.65,-9,24,1.9,0.1,7.4,6085,,-46,6.6,92477,-32,-17,3082.6,-24,-3,30000,-11,-15,3.9,2,44,,50539,26,129.42,99.08,72.45,77.40
"Idemitsu Kosan, Japan",Japan,,,*,31,0537,Integrated oil & gas,Listed,110.51,7,21,22.0,0.4,2.6,503,64,21,2.0,25267,-2,14,3228.6,-6,3,7826,4,4,14.1,3,10,,2064,-2,103.05,92.51,93.03,76.90
"Nippon Mining, Japan (now part of JX)",Japan,,,*,31,0533,Exploration & production,Unlisted,100.43,28,53,,0.4,2.6,-449,-136,-139,-1.7,27040,-6,19,2520.3,-10,,10729,4,,9.4,23,,0,,,78.22,66.83,64.16,53.63
"Nippon Oil, Japan (now part of JX)",Japan,,,*,31,0533,Exploration & production,Unlisted,81.89,-3,5,,0.2,1.6,-2530,-242,-258,-5.1,49152,-2,17,3475.1,-12,9,14144,11,7,5.8,-13,-2,,,,84.43,84.03,67.20,76.10
"Sasol, South Africa",South Africa,,,,31,0533,Exploration & production,FT Global 500,77.54,21,96,3.6,0.7,12.1,2175,-22,11,18.8,11591,6,53,345.6,7,46,33544,-1,5,2.3,23,89,,15694,12,64.00,58.03,17.24,19.09
"Repsol YPF, Spain",Spain,,,,31,0537,Integrated oil & gas,FT Global 500,66.64,-10,2,2.4,0.2,9.4,2818,-37,-43,6.9,40767,-21,-13,1023.9,-25,-19,39815,7,8,1.7,-15,-6,,17418,-2,73.75,68.41,63.97,55.98
"Lukoil, Russia",Russia,,,*,31,0537,Integrated oil & gas,FT Global 500,49.54,-16,,0.8,0.1,0.1,6264,-27,-13,14.9,42123,-37,-13,293.7,-33,,143400,-6,,0.3,-11,,,28453,14,58.83,37.15,,
"CNOOC, Hong Kong",Hong Kong,,,*,31,0533,Exploration & production,FT Global 500,48.91,6,22,1.3,0.5,40.5,3670,-26,-9,38.5,9542,-16,14,2374.2,-26,-10,4019,12,29,12.2,-5,-5,,45640,19,46.00,43.74,34.21,36.43
"SK Energy, South Korea",South Korea,,,*,31,0533,Exploration & production,Listed,45.53,8,15,10.0,0.2,2.0,454,-57,-54,1.9,23328,-17,26,,,,,,,,,,,6140,28,42.18,40.48,41.71,34.16
"Reliance Industries, India",India,,,*,31,0537,Integrated oil & gas,FT Global 500,44.81,9,92,1.9,0.2,33.2,2356,-24,18,11.7,20124,10,51,815.4,14,57,24679,-3,-86,1.8,13,101,,42407,3,41.02,43.21,6.24,3.01
"32 Oil equipment, services & distribution (9)",,,,,,,,,1521.02,-1.1,17.8,19.1,2.7,17.1,7952,-45.6,-43.8,14.4,55368,-42.1,-14.4,177.8,-9.7,0.0,284880,-7.6,0.7,4.6,9.4,23.7,,97195,13.9,1537.95,1182.57,987.17,773.20
"Schlumberger, USA",USA,,,*,32,0573,Oil equipment & services,FT Global 500,496.63,-2,20,19.6,3.5,14.1,2535,-41,-25,18.0,14058,-16,8,182.6,-6,6,77000,-11,4,6.5,11,16,,43418,10,507.02,451.11,383.50,313.03
"Baker Hughes, USA",USA,,,*,32,0573,Oil equipment & services,FT Global 500,245.84,-7,20,54.2,4.1,15.3,453,-69,-70,7.6,5984,-19,0,174.0,-6,2,34400,-14,-1,7.1,8,24,63,10622,50,263.79,230.36,209.86,116.54
"Halliburton, USA",USA,,,*,32,0573,Oil equipment & services,FT Global 500,201.25,0,11,16.6,2.2,14.9,1215,-50,-41,13.4,9087,-20,-26,178.2,-10,7,51000,-11,-36,3.9,11,50,,15790,20,201.87,200.63,171.53,149.24
"SK, South Korea",South Korea,,,*,32,0573,Oil equipment & services,Listed,201.23,-13,,8.9,4.3,62.4,2270,-11,,48.0,4728,-86,,,,,,,,,,,,2325,-13,232.33,,,
"Weatherford International, Switzerland",Switzerland,,,*,32,0573,Oil equipment & services,Listed,120.53,1,26,29.2,2.2,20.0,413,-65,-51,7.5,5466,-8,24,105.1,-12,-12,52000,4,42,2.3,-3,-13,82,7053,-20,119.30,104.85,92.53,66.48
"Smith International, USA",USA,,,*,32,0573,Oil equipment & services,Listed,87.31,9,40,23.5,1.7,6.2,371,-64,-50,7.3,5089,-24,1,232.1,-11,-10,21931,-15,13,4.0,28,24,,6283,73,80.13,68.55,54.68,45.58
"CGGVeritas, France",France,,,,32,0573,Oil equipment & services,Listed,67.88,33,48,,3.4,11.1,-143,-130,-147,-7.2,1984,-14,24,264.6,1,8,7500,-15,18,9.1,57,17,56,1673,-10,51.09,52.87,44.07,34.92
"Technip, France",France,,,,32,0573,Oil equipment & services,Listed,51.98,30,55,13.4,0.9,7.3,387,-37,17,6.7,5736,-14,-7,250.0,-14,-16,22949,1,10,2.3,29,40,,4342,8,39.89,37.32,31.01,26.12
"Cameron International, USA",USA,,,*,32,0573,Oil equipment & services,Listed,48.37,14,,10.7,1.5,6.1,452,-18,,14.0,3234,-11,,178.7,-16,,18100,6,,2.7,7,,,5690,25,42.52,36.90,,21.30
33 Personal goods (13),,,,,,,,,2086.19,1.0,7.8,22.5,2.6,5.9,9287,-8.0,0.5,11.8,78909,-2.6,8.9,116.5,-1.4,-40.5,677447,-1.2,-12.8,3.1,2.2,-41.8,,127269,17.3,2066.50,2025.42,1872.25,1774.36
"L'Oreal, France",France,,,,33,3767,Personal products,FT Global 500,541.27,5,12,26.5,3.5,6.4,2044,-10,-9,13.2,15524,0,8,240.2,4,1,64643,-4,6,8.4,10,6,,37091,16,516.48,497.47,473.12,440.87
"Kao, Japan",Japan,,,*,33,3767,Personal products,Listed,306.82,2,9,46.9,3.6,6.2,655,-15,-18,7.7,8490,-3,15,251.6,-6,-5,33745,3,18,9.1,0,-11,17,8170,7,299.80,295.27,267.82,264.50
"Givaudan, Switzerland",Switzerland,,,,33,3767,Personal products,Listed,233.03,-7,17,84.2,9.8,12.2,277,21,8,11.7,2372,-3,14,279.0,0,-1,8501,-3,15,27.4,-4,3,66,5164,45,249.81,254.60,161.74,131.79
"Kimberly-Clark, USA",USA,,,*,33,3767,Personal products,FT Global 500,186.39,1,1,10.7,1.6,6.0,1749,11,15,14.8,11837,-2,9,211.4,-7,5,56000,6,3,3.3,-4,-2,,16427,9,183.91,171.40,186.51,197.85
"Colgate-Palmolive, USA",USA,,,*,33,3767,Personal products,FT Global 500,166.57,6,9,7.4,1.8,5.5,2247,20,48,23.7,9491,0,16,249.1,-4,9,38100,4,6,4.4,2,2,,22989,4,156.73,152.95,149.55,152.52
"International Flavors & Fragrances, USA",USA,,,*,33,3767,Personal products,Listed,120.03,-9,0,57.3,8.3,11.2,210,-5,2,14.5,1440,-3,6,266.7,-4,3,5400,2,4,22.2,-11,-4,74,2292,28,131.71,123.24,114.99,111.35
"Shiseido, Japan",Japan,,,*,33,3767,Personal products,Listed,101.39,5,-5,39.6,2.2,4.5,256,-39,13,5.6,4591,-5,1,159.4,-5,-7,28810,0,8,3.5,5,-13,21,5442,30,96.89,107.31,109.44,111.50
"Swatch, Switzerland",Switzerland,,,,33,3763,Clothing & accessories,FT Global 500,97.05,-5,3,17.8,3.2,7.4,544,-22,-12,17.7,3080,-9,1,129.8,-7,-6,23727,-2,8,4.1,-3,-5,55,10687,41,102.44,97.65,88.66,89.26
"Pou Chen, Taiwan",Taiwan,,,*,33,3765,Footwear,Listed,94.82,-6,5,27.6,2.4,7.1,343,23,32,8.6,3997,-1,11,12.0,3,,332653,-4,,0.3,-3,,,1425,18,101.03,95.57,85.70,80.08
"adidas, Germany",Germany,,,,33,3763,Clothing & accessories,Listed,76.41,6,6,17.0,0.8,2.7,449,-51,-43,4.9,9223,-4,10,236.1,-11,-25,39071,8,43,2.0,-2,-29,48,6934,28,71.97,74.63,87.07,55.98
"Lion, Japan",Japan,,,*,33,3767,Personal products,Listed,60.25,6,8,85.0,2.8,5.4,71,52,79,3.3,2142,-5,-4,372.4,-4,-3,5750,0,-1,10.5,7,9,0,955,,56.69,58.17,52.70,56.58
"PUMA, Germany",Germany,,,,33,3763,Clothing & accessories,Listed,51.62,5,10,30.2,2.4,4.5,171,-41,-47,7.8,2186,-3,9,224.3,-5,-22,9747,3,34,5.3,3,-22,,2566,0,48.96,51.09,50.38,37.32
"Estee Lauder, USA",USA,,,*,33,3767,Personal products,Listed,50.53,1,9,18.6,1.1,4.9,271,-46,-41,6.0,4535,-7,6,144.9,-5,-7,31300,-2,13,1.6,3,-5,,7126,55,50.10,46.07,44.59,44.77
34 Pharmaceuticals & biotechnology (112),,,,,,,,,65881.26,5.5,21.3,67.8,15.9,20.2,97182,19.6,39.6,23.5,413487,6.4,18.0,285.3,-2.0,6.1,1447088,4.7,9.9,45.4,-1.9,9.9,,1019484,8.3,62379.85,56849.06,50376.29,42443.19
"Roche, Switzerland",Switzerland,,,,34,4577,Pharmaceuticals,FT Global 500,5688.01,9,30,77.4,19.4,25.1,7351,-12,1,25.0,29384,8,16,360.5,6,7,81507,2,8,69.8,7,21,63,73010,-12,5214.16,4967.95,3947.16,3417.60
"Pfizer, USA",USA,,,*,34,4577,Pharmaceuticals,FT Global 500,4801.54,-2,0,72.8,15.5,17.9,6591,20,3,21.3,30967,4,0,265.8,-27,-21,116500,42,25,41.2,-31,-21,,80040,21,4919.81,5008.98,4705.56,4608.34
"Novartis, Switzerland",Switzerland,,,,34,4577,Pharmaceuticals,FT Global 500,4581.09,2,25,72.0,16.7,21.0,6363,8,27,23.2,27412,7,18,274.6,3,14,99834,3,3,45.9,-1,21,50,82388,12,4470.87,3971.76,3280.08,2977.27
"Johnson & Johnson, USA",USA,,,*,34,4577,Pharmaceuticals,FT Global 500,4325.96,-8,-3,43.3,11.3,15.1,9980,-5,13,26.0,38329,-3,8,331.9,0,11,115500,-3,-3,37.5,-5,0,,99183,-3,4691.93,4755.71,4412.04,3908.60
"Sanofi-Aventis, France",France,,,,34,4577,Pharmaceuticals,FT Global 500,4059.53,0,4,62.3,15.3,19.9,6514,41,50,24.6,26464,8,7,252.4,1,1,104867,7,6,38.7,-6,-2,58,46324,-12,4052.42,4016.88,3912.93,3593.07
"GlaxoSmithKline, UK",UK,,,,34,4577,Pharmaceuticals,FT Global 500,3629.00,10,11,47.7,12.8,17.8,7614,6,3,26.8,28368,16,23,287.0,19,27,98854,-2,-3,36.7,12,14,,63584,6,3314.00,3146.00,3435.00,3134.00
"Merck, USA",USA,,,*,34,4577,Pharmaceuticals,FT Global 500,3619.42,22,98,37.6,21.3,26.6,9615,60,542,56.6,16985,15,94,169.8,,,100000,,,36.2,,,47,66615,143,2975.42,1811.88,1354.88,1154.87
"Takeda Pharmaceutical, Japan",Japan,,,*,34,4577,Pharmaceuticals,FT Global 500,3013.58,64,132,145.3,29.5,32.0,2074,-34,-35,20.3,10233,12,23,528.5,-9,-4,19362,23,28,155.6,33,82,53,22620,16,1834.49,1285.80,1128.45,940.92
"AstraZeneca, UK",UK,,,,34,4577,Pharmaceuticals,FT Global 500,2745.68,-12,3,39.0,13.5,16.5,7037,24,42,34.6,20313,4,18,317.9,7,22,63900,-3,-4,43.0,-9,7,68,47459,18,3119.08,3076.97,2405.72,2092.39
"Eli Lilly, USA",USA,,,*,34,4577,Pharmaceuticals,FT Global 500,2679.11,13,28,78.2,19.8,23.3,3426,,151,25.3,13522,7,26,335.0,8,29,40360,0,-2,66.4,13,31,44,25492,9,2378.41,2159.08,1937.77,1873.49
"Bristol-Myers Squibb, USA",USA,,,*,34,4577,Pharmaceuticals,FT Global 500,2258.34,2,15,56.6,16.9,20.2,3990,39,69,29.8,13396,1,10,478.4,27,59,28000,-20,-31,80.7,27,65,45,27949,4,2219.95,2032.32,1899.19,1700.42
"Boehringer Ingelheim, Germany",Germany,,,*,34,4577,Pharmaceuticals,Unlisted,1968.01,5,31,98.4,17.4,22.4,1999,16,11,17.7,11303,10,19,272.1,9,13,41534,1,6,47.4,4,24,69,,,1873.83,1537.10,1398.49,1208.35
"Amgen, USA",USA,,,*,34,4573,Biotechnology,FT Global 500,1773.48,-5,-4,52.0,19.6,23.2,3409,6,23,37.6,9067,-2,4,527.1,-4,7,17200,2,-3,103.1,-7,-1,,32655,-15,1876.28,2022.42,2084.34,1432.91
"Abbott Laboratories, USA",USA,,,*,34,4577,Pharmaceuticals,FT Global 500,1699.01,2,18,36.0,8.9,12.5,4713,22,69,24.7,19051,4,23,261.0,-2,11,73000,6,11,23.3,-4,7,,47863,13,1665.00,1551.58,1396.54,1127.73
"Daiichi Sankyo, Japan",Japan,,,*,34,4577,Pharmaceuticals,Listed,1227.52,13,12,,21.9,24.3,-1842,-294,-358,-32.9,5602,-4,-8,193.9,-49,-48,28895,88,76,42.5,-40,-37,38,8466,-5,1087.39,1134.95,1056.02,
"Merck, Germany",Germany,,,,34,4577,Pharmaceuticals,Listed,1194.67,9,41,222.2,17.4,23.4,538,-17,-15,7.8,6883,3,10,209.5,0,2,32850,3,8,36.4,6,32,52,3459,-4,1096.76,997.78,649.93,633.50
"Astellas Pharma, Japan",Japan,,,*,34,4577,Pharmaceuticals,FT Global 500,1058.03,18,26,65.8,16.5,20.3,1607,-10,40,25.0,6424,-1,20,450.4,-5,4,14261,4,1,74.2,13,6,43,9709,-12,894.43,1117.15,945.06,391.41
"Eisai, Japan",Japan,,,*,34,4577,Pharmaceuticals,Listed,1038.39,13,49,202.1,20.0,24.3,514,406,4,9.9,5200,6,23,473.7,4,6,10977,3,16,94.6,10,30,57,6444,-1,918.13,720.37,620.28,521.01
"Novo Nordisk, Denmark",Denmark,,,,34,4577,Pharmaceuticals,FT Global 500,889.43,1,15,50.1,14.6,19.7,1776,21,50,29.1,6099,12,28,217.9,4,8,27985,7,19,31.8,-6,-2,66,26215,36,884.18,887.16,721.43,590.21
"Biogen Idec, USA",USA,,,*,34,4573,Biotechnology,Listed,794.52,20,48,99.8,29.3,33.1,796,7,96,29.4,2711,7,41,570.7,6,21,4750,1,18,167.3,18,26,,8380,-4,663.85,572.89,444.85,462.98
"Forest Laboratories, USA",USA,,,*,34,4577,Pharmaceuticals,Listed,652.40,59,57,115.1,25.6,26.4,567,2,6,22.3,2546,7,23,489.7,7,22,5200,0,1,125.5,60,56,,4930,-4,409.50,415.49,582.70,254.15
"UCB, Belgium",Belgium,,,,34,4577,Pharmaceuticals,Listed,598.85,-12,1,195.9,21.6,22.9,306,204,14,11.0,2769,-13,1,296.9,5,10,9324,-17,-8,64.2,6,9,,3357,-13,681.48,693.91,546.42,454.02
"Gilead Sciences, USA",USA,,,*,34,4573,Biotechnology,FT Global 500,550.91,29,90,25.2,12.7,16.0,2185,27,167,50.3,4342,31,92,1127.1,17,39,3852,12,42,143.0,15,38,49,17817,-29,426.65,348.16,224.44,158.21
"Genzyme, USA",USA,,,*,34,4573,Biotechnology,Listed,523.20,-33,9,172.5,18.7,33.4,303,-16,16,10.8,2796,-2,26,233.0,-10,1,12000,9,26,43.6,-39,-11,,10463,24,784.13,438.58,391.64,298.78
"Teva Pharmaceutical Industries, Israel",Israel,,,*,34,4577,Pharmaceuticals,FT Global 500,496.63,2,44,33.4,5.8,10.9,1486,176,79,17.3,8607,25,63,245.3,37,22,35089,-8,30,14.2,11,8,85,28443,-2,486.72,359.78,306.52,228.44
"Celgene, USA",USA,,,*,34,4573,Biotechnology,FT Global 500,483.69,-15,85,86.7,29.0,32.5,558,,,33.5,1666,19,111,592.1,4,26,2813,15,77,171.9,-26,18,,15839,6,567.39,234.37,148.88,92.58
"Allergan, USA",USA,,,*,34,4577,Pharmaceuticals,FT Global 500,437.18,-12,-5,77.8,15.7,17.8,562,14,74,20.1,2789,2,31,336.0,8,13,8300,-5,17,52.7,-7,-18,,11961,16,494.09,444.67,653.60,242.12
"Lundbeck, Denmark",Denmark,,,,34,4577,Pharmaceuticals,Listed,352.00,32,45,102.6,21.4,24.7,343,24,31,20.9,1641,22,36,297.0,15,26,5526,6,8,63.7,24,35,45,1851,-26,266.66,261.16,233.76,207.03
"Shionogi, Japan",Japan,,,*,34,4577,Pharmaceuticals,Listed,351.36,31,52,179.7,23.2,28.1,196,-23,-8,12.9,1513,6,12,251.8,-12,-5,6010,21,18,58.5,9,28,,3927,-20,268.00,249.15,214.57,195.62
"Dainippon Sumitomo Pharma, Japan",Japan,,,*,34,4577,Pharmaceuticals,Listed,351.34,12,56,172.9,20.0,25.2,203,-16,18,11.6,1756,0,12,366.9,0,-3,4787,0,11,73.4,12,42,7,2004,-15,314.40,271.86,197.13,116.03
"Shire, UK",UK,,,*,34,4577,Pharmaceuticals,Listed,346.71,16,44,92.3,18.6,27.1,376,90,1349,20.1,1864,-1,36,481.0,-3,7,3875,3,27,89.5,13,13,,8280,48,298.35,301.57,187.13,177.81
"Kyowa Hakko Kirin, Japan",Japan,*,,*,34,4573,Biotechnology,Listed,310.24,-4,25,167.3,11.3,17.7,185,19,14,6.8,2742,-10,6,368.7,-13,-11,7436,2,20,41.7,-6,6,11,3540,-15,321.87,226.89,221.79,218.69
"Vertex Pharmaceuticals, USA",USA,,,*,34,4573,Biotechnology,Listed,295.19,26,82,,467.9,490.9,-380,,,-602.6,63,-42,-46,44.1,-46,-61,1432,7,35,206.1,17,42,,4545,18,234.24,224.17,121.72,67.03
"Actelion, Switzerland",Switzerland,,,*,34,4577,Pharmaceuticals,Listed,278.04,24,77,136.8,26.2,33.6,203,-9,45,19.1,1062,20,61,469.9,1,,2260,19,,123.0,4,,56,3448,-19,224.36,175.01,126.89,102.72
"Ono Pharmaceutical, Japan",Japan,,,*,34,4577,Pharmaceuticals,Listed,255.43,-2,10,107.8,28.1,29.2,237,-30,-37,26.1,908,-6,-6,343.3,-5,-6,2646,-1,0,96.5,0,6,0,3131,-11,259.33,235.37,226.61,203.79
"Cephalon, USA",USA,,,*,34,4577,Pharmaceuticals,Listed,244.86,9,6,115.0,18.0,20.8,213,71,935,15.7,1358,11,30,448.6,2,22,3026,9,6,80.9,0,0,18,2716,6,224.29,228.57,249.78,219.72
"Nycomed, Luxembourg",Luxembourg,,,,34,4577,Pharmaceuticals,Unlisted,218.15,-16,57,85.3,7.9,10.2,256,-18,61,9.3,2763,-3,54,230.7,-5,9,11975,2,56,18.2,-18,23,29,,,260.17,235.28,33.20,27.32
"Life Technologies, USA",USA,,,*,34,4573,Biotechnology,Listed,208.74,137,190,85.3,10.3,15.8,245,139,380,12.0,2031,102,143,225.7,118,48,9000,-7,52,23.2,155,77,,5012,0,88.24,71.73,66.63,61.49
"Taisho Pharmaceutical, Japan",Japan,,,*,34,4577,Pharmaceuticals,Listed,183.08,11,11,145.2,10.7,12.0,126,-47,-51,7.4,1704,3,-2,315.1,1,-4,5409,2,3,33.8,10,8,,3649,3,164.60,189.71,153.47,154.46
"CSL, Australia",Australia,,,*,34,4573,Biotechnology,FT Global 500,173.54,38,72,26.0,6.7,13.1,668,25,82,26.0,2574,30,50,249.0,17,15,10340,11,30,16.8,24,33,,9999,-4,125.37,106.29,89.68,81.15
"Mylan, USA",USA,,,*,34,4577,Pharmaceuticals,Listed,170.45,-13,53,50.5,5.4,8.4,338,145,,10.7,3154,-1,87,252.3,-5,20,12500,4,50,13.6,-17,-6,49,3344,26,196.43,120.60,64.21,63.20
"Elan, Ireland",Ireland,,,,34,4577,Pharmaceuticals,Listed,160.38,-10,11,,31.6,36.5,-45,,,-8.9,508,8,49,342.5,22,72,1484,-12,-14,108.1,2,29,,1778,-20,178.71,140.94,119.51,136.60
"Sepracor, USA (now part of Sumitomo Chemical, Japan)",USA,,,*,34,4577,Pharmaceuticals,Unlisted,152.84,-6,35,578.5,19.1,22.9,26,103,-31,3.3,800,5,43,333.4,0,31,2400,5,13,63.7,-11,19,,,,163.33,101.24,89.48,99.06
"Hospira, USA",USA,,,*,34,4577,Pharmaceuticals,Listed,148.93,13,34,49.6,6.2,10.3,300,-5,30,12.5,2402,7,27,177.9,15,29,13500,-7,-1,11.0,21,36,,5436,36,132.27,124.61,100.08,85.97
"Exelixis, USA",USA,,,*,34,4577,Pharmaceuticals,Listed,145.34,-9,16,,154.7,158.5,-75,,,-80.3,94,29,50,139.0,29,45,676,0,4,215.0,-9,13,,194,-48,159.38,139.56,114.86,87.40
"Ipsen, France",France,,,,34,4577,Pharmaceuticals,Listed,144.03,18,13,96.1,14.6,18.2,150,-13,-9,15.2,988,7,16,227.0,0,3,4353,7,13,33.1,11,0,,1746,-27,121.90,139.94,125.14,122.44
"Novozymes, Denmark",Denmark,,,,34,4573,Biotechnology,Listed,126.57,7,25,64.2,12.5,24.5,197,11,20,19.5,1009,4,18,193.4,-1,2,5217,4,16,24.3,2,8,62,4018,37,118.81,106.39,94.81,85.49
"Santen Pharmaceutical, Japan",Japan,,,*,34,4577,Pharmaceuticals,Listed,122.78,43,39,121.8,18.2,21.1,101,-26,-23,14.9,676,-2,3,251.3,-9,-9,2690,8,13,45.6,32,23,9,1838,11,86.09,90.88,92.93,83.95
"Almirall, Spain",Spain,,,,34,4577,Pharmaceuticals,Listed,118.47,36,70,78.7,14.4,16.2,151,6,33,18.3,822,3,16,254.3,7,11,3234,-5,4,36.6,42,65,,946,-22,87.25,90.09,49.32,51.50
"Watson Pharmaceuticals, USA",USA,,,*,34,4577,Pharmaceuticals,Listed,117.96,16,40,48.2,6.8,8.8,245,7,268,14.1,1730,10,29,296.7,-4,12,5830,15,14,20.2,1,20,,3227,43,101.69,87.99,77.17,71.19
"Chiesi Farmaceutici, Italy",Italy,,,*,34,4577,Pharmaceuticals,Unlisted,116.98,22,52,121.8,15.1,19.6,96,22,64,12.4,775,16,36,228.7,7,16,3389,9,18,34.5,12,30,,,,95.78,82.05,68.02,61.81
"Endo Pharmaceuticals, USA",USA,,,*,34,4577,Pharmaceuticals,Listed,114.75,68,77,46.2,12.7,13.5,249,4,31,27.5,905,16,43,608.3,-5,-1,1487,22,43,77.2,38,21,,1772,15,68.25,85.61,51.28,54.68
"Amylin Pharmaceuticals, USA",USA,,,*,34,4573,Biotechnology,Listed,111.86,-17,6,,23.8,43.9,-108,,,-23.0,470,-10,33,313.1,8,52,1500,-17,-6,74.6,-1,17,,1752,51,135.20,122.02,114.69,48.53
"Genmab, Denmark",Denmark,,,,34,4573,Biotechnology,Listed,109.30,-36,14,,145.7,148.4,-89,,,-118.1,75,-16,67,148.5,-6,19,505,-11,55,216.4,-28,-24,,312,-72,169.88,99.90,59.60,52.74
"Cubist Pharmaceuticals, USA",USA,,,*,34,4573,Biotechnology,Listed,105.63,35,114,124.9,30.3,32.3,85,202,725,24.3,348,30,115,580.2,20,71,600,8,32,176.0,24,68,,798,15,78.44,52.74,35.55,30.32
"Merz, Germany",Germany,,,,34,4577,Pharmaceuticals,Unlisted,104.05,48,113,86.2,19.9,23.7,121,9,34,23.0,524,-3,16,300.3,27,33,1745,-24,-13,59.6,94,150,,,,70.39,53.43,44.95,26.39
"Merial, UK",UK,,,*,34,4573,Biotechnology,Unlisted,102.42,4,13,24.3,6.2,13.7,421,3,47,25.5,1650,8,23,292.2,3,19,5646,5,3,18.1,-1,10,66,,,98.64,78.71,90.47,93.88
"Mannkind, USA",USA,,,*,34,4573,Biotechnology,Listed,96.81,-38,-21,,,,-130,,,,0,-100,-100,0.0,-100,-100,443,-24,-18,218.5,-18,-1,,533,5,155.08,159.05,118.77,59.04
"Abraxis Bioscience, USA",USA,,,*,34,4573,Biotechnology,Listed,95.74,49,78,,43.1,69.4,-68,,,-30.7,222,4,-27,251.2,-14,-9,885,21,-25,108.2,24,85,,1887,157,64.15,54.94,56.16,39.81
"OSI Pharmaceuticals, USA (now part of Astellas Pharma, Japan)",USA,,,*,34,4573,Biotechnology,Unlisted,94.03,12,8,99.8,35.4,51.5,94,4,,35.4,266,1,27,497.0,-7,30,535,9,-6,175.8,3,14,,,,83.81,76.50,109.39,77.99
"Illumina, USA",USA,,,*,34,4573,Biotechnology,Listed,87.07,41,143,110.9,21.1,28.9,79,58,,19.0,413,16,122,231.7,0,22,1781,16,101,48.9,21,22,,3522,23,61.90,45.79,19.87,16.05
"Onyx Pharmaceuticals, USA",USA,,,*,34,4577,Pharmaceuticals,Listed,78.96,75,165,630.5,50.7,51.2,13,,,8.0,156,29,414,574.4,-6,272,271,38,89,291.4,27,33,,1052,-4,45.23,15.74,19.18,39.09
"Krka, Slovenia",Slovenia,,,,34,4577,Pharmaceuticals,Listed,78.44,4,49,37.3,9.3,18.0,210,0,37,24.8,847,0,29,106.2,-4,3,7975,5,26,9.8,-1,21,0,1866,-16,75.30,52.48,46.78,35.64
"Gedeon Richter, Hungary",Hungary,,,,34,4577,Pharmaceuticals,Listed,77.49,28,48,47.6,8.8,16.6,163,41,22,18.5,878,13,27,84.5,13,11,10394,0,15,7.5,28,30,,2364,8,60.50,59.39,47.63,41.50
"Orion Oyj, Finland",Finland,,,,34,4577,Pharmaceuticals,Listed,77.39,-9,-1,42.1,11.3,14.5,184,12,16,26.8,685,9,15,214.7,11,14,3192,-2,1,24.2,-7,-2,22,1710,13,84.94,79.96,69.84,
"Kissei Pharmaceutical, Japan",Japan,,,*,34,4577,Pharmaceuticals,Listed,76.88,2,9,440.8,17.9,19.5,17,-33,-31,4.1,429,5,3,229.6,4,-3,1870,1,6,41.1,0,3,,673,-21,75.57,69.66,70.34,65.81
"United Therapeutics, USA",USA,,,*,34,4573,Biotechnology,Listed,75.66,-49,17,461.2,33.0,58.8,16,,,7.2,229,31,93,558.6,15,41,410,14,40,184.5,-55,-8,,1743,16,148.11,51.61,35.65,22.33
"Seattle Genetics, USA",USA,,,*,34,4573,Biotechnology,Listed,73.78,7,90,,229.3,238.1,-53,,,-163.3,32,47,168,111.3,33,85,289,11,56,255.3,-3,29,,751,9,68.70,40.14,24.85,21.48
